date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:57	445/445	---M--	200	added ('OK')	text/plain	date:Fri,%2003%20May%202019%2019:54:57%20GMT	https://olinsd.wixsite.com/robots.txt		(from )
15:54:58	155087/155087	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202019%2019:54:57%20GMT	https://olinsd.wixsite.com/kangaroojump	C:/Users/ychen48/Desktop/Kangaroo%20Jump/olinsd.wixsite.com/kangaroojump.html	(from )
15:54:58	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20May%202019%2019:54:58%20GMT	https://olinsd.wixsite.com/sitemap.xml	C:/Users/ychen48/Desktop/Kangaroo%20Jump/olinsd.wixsite.com/sitemap.xml	(from https://olinsd.wixsite.com/kangaroojump)
15:54:58	2933/2933	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20May%202019%2019:54:58%20GMT	https://olinsd.wixsite.com/feed.xml	C:/Users/ychen48/Desktop/Kangaroo%20Jump/olinsd.wixsite.com/feed.xml	(from https://olinsd.wixsite.com/kangaroojump)
15:54:59	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	C:/Users/ychen48/Desktop/Kangaroo%20Jump/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://olinsd.wixsite.com/kangaroojump)
15:54:59	17493/17493	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	C:/Users/ychen48/Desktop/Kangaroo%20Jump/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://olinsd.wixsite.com/kangaroojump)
15:54:59	147274/147274	---M-Z	200	added ('OK')	application/javascript	etag:W/%2277deece52a747c128e1bf6b5cb05db46%22	https://static.parastorage.com/services/wix-bolt/1.2412.0/bolt-main/app/main-r.min.js	C:/Users/ychen48/Desktop/Kangaroo%20Jump/static.parastorage.com/services/wix-bolt/1.2412.0/bolt-main/app/main-r.min.js	(from https://olinsd.wixsite.com/kangaroojump)
15:54:59	12669/12669	---MCZ	200	added ('OK')	text/css	etag:W/%223315e49dce769d618287be7dd590e2a7%22	https://static.parastorage.com/services/wix-bolt/1.2412.0/node_modules/wix-santa/static/css/viewer.min.css	C:/Users/ychen48/Desktop/Kangaroo%20Jump/static.parastorage.com/services/wix-bolt/1.2412.0/node_modules/wix-santa/static/css/viewer.min.css	(from https://olinsd.wixsite.com/kangaroojump)
15:55:00	141271/141271	---MCZ	200	added ('OK')	text/css	etag:W/%221ebf08bf116ea9f0e944eecb27c8c8a1-1%22	https://static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v5/languages.css	C:/Users/ychen48/Desktop/Kangaroo%20Jump/static.parastorage.com/services/santa-resources/resources/viewer/user-site-fonts/v5/languages.css	(from https://olinsd.wixsite.com/kangaroojump)
15:55:00	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	C:/Users/ychen48/Desktop/Kangaroo%20Jump/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://olinsd.wixsite.com/kangaroojump)
